Thursday 15th of March 2012 10:31:01 PM	 broker_id =1
Thursday 15th of March 2012 10:31:05 PM	 broker_id =1
Thursday 15th of March 2012 10:31:28 PM	 broker_id =1
Thursday 15th of March 2012 10:31:58 PM	 broker_id =1
Thursday 15th of March 2012 10:32:37 PM	 broker_id =1
Thursday 15th of March 2012 10:32:49 PM	 broker_id =1
Thursday 15th of March 2012 10:33:27 PM	 broker_id =1
Thursday 15th of March 2012 10:33:38 PM	 broker_id =1
Thursday 15th of March 2012 10:33:55 PM	 broker_id =1
Thursday 15th of March 2012 10:34:31 PM	 broker_id =1
Thursday 15th of March 2012 10:34:40 PM	 broker_id =1
Thursday 15th of March 2012 10:55:15 PM	 broker_id =1
Thursday 15th of March 2012 10:55:40 PM	 broker_id =1
Thursday 15th of March 2012 10:56:04 PM	 broker_id =1
Thursday 15th of March 2012 10:56:12 PM	 broker_id =1
Thursday 15th of March 2012 10:56:21 PM	 broker_id =1
Thursday 15th of March 2012 10:59:12 PM	 broker_id =1
Thursday 15th of March 2012 11:00:27 PM	 broker_id =1
Thursday 15th of March 2012 11:00:41 PM	 broker_id =1
Friday 16th of March 2012 12:06:19 AM	 broker_id =1
Friday 16th of March 2012 12:07:03 AM	 broker_id =1
Friday 16th of March 2012 12:08:46 AM	 broker_id =1
Friday 16th of March 2012 12:09:00 AM	 broker_id =1
Friday 16th of March 2012 12:09:06 AM	 broker_id =1
Friday 16th of March 2012 12:11:38 AM	 broker_id =1
Friday 16th of March 2012 12:14:25 AM	 broker_id =1
Friday 16th of March 2012 02:39:49 AM	 broker_id =1
Friday 16th of March 2012 02:45:44 AM	 broker_id =1
Friday 16th of March 2012 04:33:26 AM	 broker_id =1
Friday 16th of March 2012 04:34:46 AM	 broker_id =1
Friday 16th of March 2012 04:34:53 AM	 broker_id =1
Friday 16th of March 2012 04:58:05 AM	 broker_id =1
Friday 16th of March 2012 05:04:56 AM	 broker_id =1
Friday 16th of March 2012 05:04:58 AM	 broker_id =1
Friday 16th of March 2012 05:41:25 AM	 broker_id =1
Friday 16th of March 2012 05:49:03 AM	 broker_id =1
Friday 16th of March 2012 05:54:37 AM	 broker_id =1
Friday 16th of March 2012 06:02:52 AM	 broker_id =1
Friday 16th of March 2012 06:07:54 AM	 broker_id =1
Friday 16th of March 2012 06:08:43 AM	 broker_id =1
Friday 16th of March 2012 06:09:54 AM	 broker_id =1
Friday 16th of March 2012 06:10:53 AM	 broker_id =1
Friday 16th of March 2012 06:11:18 AM	 broker_id =1
Friday 16th of March 2012 06:11:41 AM	 broker_id =1
Friday 16th of March 2012 06:11:53 AM	 broker_id =1
Friday 16th of March 2012 06:21:50 AM	 broker_id =1
Friday 16th of March 2012 06:21:53 AM	 broker_id =1
Friday 16th of March 2012 06:21:54 AM	 broker_id =1
Friday 16th of March 2012 06:21:58 AM	 broker_id =1
Friday 16th of March 2012 06:22:00 AM	 broker_id =1
Friday 16th of March 2012 06:22:02 AM	 broker_id =1
Friday 16th of March 2012 06:22:03 AM	 broker_id =1
Friday 16th of March 2012 06:22:04 AM	 broker_id =1
Friday 16th of March 2012 06:22:08 AM	 broker_id =1
Friday 16th of March 2012 06:22:10 AM	 broker_id =1
Friday 16th of March 2012 06:31:03 AM	 broker_id =1
Friday 16th of March 2012 06:32:25 AM	 broker_id =1
Friday 16th of March 2012 06:33:11 AM	 broker_id =1
Friday 16th of March 2012 06:33:45 AM	 broker_id =1
Friday 16th of March 2012 06:34:58 AM	 broker_id =1
Friday 16th of March 2012 06:36:14 AM	 broker_id =1
Friday 16th of March 2012 06:41:47 AM	 broker_id =1
Friday 16th of March 2012 06:41:49 AM	 broker_id =1
Friday 16th of March 2012 06:41:53 AM	 broker_id =1
Friday 16th of March 2012 06:42:06 AM	 broker_id =1
Friday 16th of March 2012 06:42:26 AM	 broker_id =1
Friday 16th of March 2012 06:42:39 AM	 broker_id =1
Friday 16th of March 2012 06:42:40 AM	 broker_id =1
Friday 16th of March 2012 06:42:58 AM	 broker_id =1
Friday 16th of March 2012 06:43:40 AM	 broker_id =1
Friday 16th of March 2012 06:43:55 AM	 broker_id =1
Friday 16th of March 2012 06:46:21 AM	 broker_id =1
Friday 16th of March 2012 06:48:26 AM	 broker_id =1
Friday 16th of March 2012 06:49:33 AM	 broker_id =1
Friday 16th of March 2012 06:50:50 AM	 broker_id =1
Friday 16th of March 2012 06:51:08 AM	 broker_id =1
Friday 16th of March 2012 06:52:21 AM	 broker_id =1
Friday 16th of March 2012 06:53:58 AM	 broker_id =1
Friday 16th of March 2012 06:54:16 AM	 broker_id =1
Friday 16th of March 2012 06:54:54 AM	 broker_id =1
Friday 16th of March 2012 07:09:40 AM	 broker_id =1
Friday 16th of March 2012 07:45:51 AM	 broker_id =1
Friday 16th of March 2012 11:18:35 AM	 broker_id =1
Saturday 17th of March 2012 04:23:46 AM	 broker_id =1
Saturday 17th of March 2012 05:02:01 AM	 broker_id =1
Saturday 17th of March 2012 05:02:08 AM	 broker_id =1
Saturday 17th of March 2012 05:02:40 AM	 broker_id =1
Saturday 17th of March 2012 03:06:35 PM	 broker_id =1
Saturday 17th of March 2012 03:26:55 PM	 broker_id =1
Monday 19th of March 2012 12:16:25 AM	 broker_id =1
Tuesday 20th of March 2012 03:33:06 AM	 broker_id =1
Tuesday 20th of March 2012 04:04:56 AM	 broker_id =1
Tuesday 20th of March 2012 08:09:53 AM	 broker_id =1
Tuesday 20th of March 2012 08:09:55 AM	 broker_id =1
Tuesday 20th of March 2012 11:36:57 PM	 broker_id =1
Wednesday 21st of March 2012 05:49:32 AM	 broker_id =1
Wednesday 21st of March 2012 05:57:41 AM	 broker_id =1
Wednesday 21st of March 2012 06:20:31 AM	 broker_id =1
Wednesday 21st of March 2012 06:22:04 AM	 broker_id =1
Wednesday 21st of March 2012 06:22:08 AM	 broker_id =1
Wednesday 21st of March 2012 06:22:09 AM	 broker_id =1
Wednesday 21st of March 2012 06:22:46 AM	 broker_id =1
Wednesday 21st of March 2012 06:22:57 AM	 broker_id =1
Wednesday 21st of March 2012 06:28:58 AM	 broker_id =1
Wednesday 21st of March 2012 06:32:40 AM	 broker_id =1
Wednesday 21st of March 2012 06:32:42 AM	 broker_id =1
Wednesday 21st of March 2012 06:32:43 AM	 broker_id =1
Wednesday 21st of March 2012 06:36:10 AM	 broker_id =1
Wednesday 21st of March 2012 07:19:57 AM	 broker_id =1
Wednesday 21st of March 2012 07:19:58 AM	 broker_id =1
Wednesday 21st of March 2012 07:19:58 AM	 broker_id =1
Wednesday 21st of March 2012 07:37:49 AM	 broker_id =1
Wednesday 21st of March 2012 07:55:30 AM	 broker_id =1
Wednesday 21st of March 2012 07:55:32 AM	 broker_id =1
Wednesday 21st of March 2012 07:55:32 AM	 broker_id =1
Wednesday 21st of March 2012 11:26:47 AM	 broker_id =1
Wednesday 21st of March 2012 09:55:45 PM	 broker_id =1
Wednesday 21st of March 2012 10:51:25 PM	 broker_id =1
